person_id,player_name,std_first_name,german
00QBTA7GP0000000VV0AG819VSKRC3V1,Marcel Blanbois,marcel,N
01SG5GJ5KO000000VS548985VU0TRHO1,Mahdi Rafii,mahdi,N
00QBT9VEAS000000VV0AG819VSKRC3V1,Noah Attmanspacher,noah,Y
01LAMIDJ5K000000VV0AG80NVSVER96E,Yusuf Abdulhalim Rubeya,yusuf,N
00QBSQJCF4000000VV0AG819VSKRC3V1,Dominik Schuldhaus,dominik,Y
00QBSAAU20000000VV0AG819VSPRME8B,Michael Frisch,michael,Y
00QBS6I6JO000000VV0AG819VSKRC3V1,Tobias Pappenberger,tobias,Y
00QBS12A54000000VV0AG819VSPRME8B,Peter Frank,peter,Y
00QG9PU010000000VV0AG83KVTOJGRI7,Haci Mohammad,haci,N
00QBSR2N5O000000VV0AG819VSKRC3V1,Maximilian Brunner,maximilian,Y
00QBSTNE30000000VV0AG819VSKRC3V1,Christian Desogus,christian,N
00QBSF1SKS000000VV0AG819VSKRC3V1,Jakob Reif,jakob,Y
00QBTCTGPS000000VV0AG819VSKRC3V1,Alexander Sievers,alexander,Y
00U3POMP38000000VV0AG80NVU0T17V8,Johannes Winkler,johannes,Y
00QBTDHSMO000000VV0AG819VSKRC3V1,Patrick Schwarzmeier,patrick,Y
01DO0SHQV4000000VV0AG80NVT5FJBAQ,Johannes Ziegler,johannes,Y
00QBTCG708000000VV0AG819VSPRME8B,Sascha Kunzmann,sascha,Y
00QBSUUI4K000000VV0AG819VSKRC3V1,Alexander Ederer,alexander,Y
00QBT49RHS000000VV0AG819VSKRC3V1,Peter Scheuenstuhl,peter,Y
00QBSTSKLC000000VV0AG819VSKRC3V1,Simon Büttner,simon,Y
00QBSPT134000000VV0AG819VSKRC3V1,Andreas Eiber,andreas,Y
00QBSPFL70000000VV0AG819VSPRME8B,David Smietanski,david,Y
00QBSER8OS000000VV0AG819VSKRC3V1,Manuel Schreib,manuel,Y
00QBSSDB0K000000VV0AG819VSKRC3V1,Marcel Heinlein,marcel,Y
00QBSH6D7S000000VV0AG819VSKRC3V1,Timo Köppl,timo,Y
00QBTE514K000000VV0AG819VSKRC3V1,Michael Hien,michael,Y
00QBSP9SL8000000VV0AG819VSKRC3V1,Marco Gleiß,marco,Y
022A6EH2JS000000VS54898GVSDDQR0P,Stefan Leopold,stefan,Y
00QBRQHU1S000000VV0AG819VSPRME8B,Matthias Bachmeier,matthias,Y
00QBSNAHLC000000VV0AG819VSKRC3V1,Himmet Turan,himmet,N
00QBSDCHS0000000VV0AG819VSKRC3V1,Manuel Schmidhuber,manuel,Y
00QBST00GO000000VV0AG819VSKRC3V1,Manuel Bayrhof,manuel,Y
00QBSATONS000000VV0AG819VSKRC3V1,Johannes Hornof,johannes,Y
00QBS8OMEO000000VV0AG819VSKRC3V1,Patrick Gomolka,patrick,Y
00QBSD7IFS000000VV0AG819VSPRME8B,Thomas Lang,thomas,Y
00QBT96S3K000000VV0AG819VSKRC3V1,Max Schiller,max,Y
00QBTJ0QB4000000VV0AG819VSKRC3V1,Simon Stiglmayr,simon,Y
00QBT955GK000000VV0AG819VSKRC3V1,Benedikt Heindl,benedikt,Y
00QBS4IQ60000000VV0AG819VSPRME8B,Christian Doll,christian,Y
00QBSSMDDG000000VV0AG819VSKRC3V1,Sebastian Graf,sebastian,Y
00QBT75S9K000000VV0AG819VSKRC3V1,Serafettin Aksoy,serafettin,N
00QBSL10GO000000VV0AG819VSKRC3V1,Sahin Turan,sahin,N
00QBSSVDEG000000VV0AG819VSKRC3V1,Christoph Bischoff,christoph,Y
00QBSPC418000000VV0AG819VSKRC3V1,Bernhard Rank,bernhard,Y
00QBTBV3B8000000VV0AG819VSPRME8B,Udo Hammerschick,udo,Y
00QBTD6264000000VV0AG819VSKRC3V1,Tobias Käsbeitzer,tobias,Y
00QBTCEHT0000000VV0AG819VSKRC3V1,Thilo Abudo,thilo,N
00QBSSDKS4000000VV0AG819VSKRC3V1,Dominik Lacher,dominik,Y
00QBRQTE3S000000VV0AG819VSPRME8B,Albert Deiter,albert,Y
00QBSNR6S8000000VV0AG819VSPRME8B,Markus Torscht,markus,Y
01EDR28DMO000000VV0AG811VSQBEGD7,Kevin Trautmann,kevin,Y
00QBSVM6HS000000VV0AG819VSKRC3V1,Ufuk Keskin,ufuk,N
00QBS5VS8G000000VV0AG819VSKRC3V1,Christoph Poschenrieder,christoph,Y
00QBT6JA9K000000VV0AG819VSPRME8B,Michael Bach,michael,Y
00QBS34R8S000000VV0AG819VSKRC3V1,Onur Akgöz,onur,N
00QBT8IK84000000VV0AG819VSKRC3V1,Mathias Killi,mathias,N
01RCFTA1B0000000VS548985VVGHNTM0,Sharaf Karimi,sharaf,N
00QBSD08S4000000VV0AG819VSPRME8B,Franz Freund,franz,Y
00QBSB7QAS000000VV0AG819VSKRC3V1,Martin Crafts,martin,Y
00QBTIB2PK000000VV0AG819VSKRC3V1,Michael Pfeffer,michael,Y
00QBT3JR3K000000VV0AG819VSPRME8B,Benjamin Knipfer,benjamin,Y
00QBSMQJ4G000000VV0AG819VSKRC3V1,Dominik Taubmann,dominik,Y
00QBSOUH3S000000VV0AG819VSKRC3V1,Daniel Amtmann,daniel,Y
00QBTEI5LC000000VV0AG819VSKRC3V1,Matteo Boccuto,matteo,N
00QBT852NG000000VV0AG819VSKRC3V1,Oliver Karl,oliver,Y
00QBTGVQ78000000VV0AG819VSKRC3V1,Pascal Pfeil,pascal,Y
00QBT8UQ9O000000VV0AG819VSKRC3V1,Jannik Früh,jannik,Y
00QBSG5TVC000000VV0AG819VSPRME8B,Juan Duran Pablo,juan,N
00QBSETDV0000000VV0AG819VSKRC3V1,Matthias Schötz,matthias,Y
00QBSP0PL8000000VV0AG819VSKRC3V1,Hansi Wurzenberger,hansi,Y
